"","类别 电工 电工 电工 电工 ","公司/老板名称 Rhodes Sons RichardElectric Inc. Sa Electrical Construction LLC Gabria ","电话号码 732-424-0600 732-489-3841 305-319-9580 ","网址/地址 SpurrElectric@aol.com ","邮箱 ","推荐时间 ","备注 BR群：桃之妖妖：local的电工，价格不错，事情也做得干净 BR小学群： YC：给大家推荐一个好的电工，这几年用过许多，满意的不多，这两个小伙子肯干，做工好且仔细，价格也合理，两个巴西的年轻人。 ","","","","","","","","","","","","","","","","","","","",""
"","Plumber","白先生","732-895-2213","","","","2023年，BR群 Celina：朋友介绍的，疏通厨房水槽下水道200刀。snake 打碎后高压冲洗，地下室顶板割开再切管子，切面是实心的，糊死了，和水泥一样固体，两个师傅真好，70岁了忙了两个多小时，因为工作量不同，收费480。每半年就要找人通一下，从来没解决地下室横向管中结石的问题，至少要价1000元一1800元，这两个台湾老师傅是老实人。Farrah Zhang：我家换一截洗手池的管道，通两个洗手池一共420块钱。","","","","","","","","","","","","","","","","","","","",""
"","Plumber","Gold Medal Service","732-707-2833","https://www.goldmedalservice.com/plumbing/drain-clearing-service/","","","2023年 小娃群 糯米妈妈：100左右，超过一个小时要加钱，通好之后一年之内维保，再堵了免费上门。
2024年 小娃群 嘟嘟家：gold model大公司，客服跟机器人一样啥也不知道。Gold medal 价钱很好，也有好的师傅，来的俩师傅都是老实人。清理管道也便宜些，报价接近800，那个师傅说了，一般都是900多","","","","","","","","","","","","","","","","","","","",""
"","Plumber","Digeronimo & Sons, LLC","973-383-3150","https://digeronimoandsons.com/","","","2023年，桥水大群 李李：2人用时近4小时，使用带有摄像头的电动drain cleaningsnake，能精准测定堵塞源头，进行清理，最终成功。支付$890。","","","","","","","","","","","","","","","","","","","",""
"","Plumber","S.L.M. Contracting Services LLC","908-380-0232 (Mike Krupa)","slmcontracting @aonl.com","","","2023年，朵朵妈：$165换厨房水龙头，Mike和Steven人挺不错，活干得也算快。","","","","","","","","","","","","","","","","","","","",""
"","Plumber","AJ Perri- Tinton fall","800-287-2164","","","","2023年，萌萌敬敬妈：$130通下水道，很及时，打了电话2-3小时就到了，24小时7days available。反面对比Harris plumbing, heating and electrical, 周五打了电话，只能约周一，周一又推到周二，一直没人联系，后来好不容易有technician联系，要价$350， flat rate","","","","","","","","","","","","","","","","","","","",""
"","Plumber","Somerset Plumbing","800-434-2961","","","","2024年，小娃群 栗子爸爸：个体户。。大哥叫Todd。。活儿干的很不错。。也很负责任。栗子妈妈：master plumber手艺很不错，没得挑剔，价格每次也得两三百，不是那种很便宜的，但是他透明，如果工程大之前会说好价格，同意了再做，他人不错，不会漫天要价的。他的小时价我感觉配的上他的手艺。主要是可靠，靠谱，不会越弄越糙，肯定会弄好的弄干净，活的质量好。","","","","","","","","","","","","","","","","","","","",""
"","landscaping","Carlos","908-397-5600","","","","2023年：我家around 1 acre, 前天找了园丁来做leaf clean up, 做得很好守時又認真，园丁是南美洲人，收費$200， 有需要landscaping 的人可以text 他
对，Carlos 不错。","","","","","","","","","","","","","","","","","","","",""
"","cleaning lady","Wendy","201-673-2976","","","","桥水大群 宋","","","","","","","","","","","","","","","","","","","",""
"","cleaning lady","Deisi Torres","201-780-8113","","","","BR群 Stella Sun: 我家用他们打扫好几年了，非常好","","","","","","","","","","","","","","","","","","","",""
"","cleaning lady","Carlos老婆","908-397-5600","","","","他老婆做cleaning也很好。","","","","","","","","","","","","","","","","","","","",""
"","搬家公司","Greenline Mover Alex","732-602-4002","","","","BR群：Wen-Hua: 蒋先生搬家公司。多位朋友用过推荐，要尽量提前约，我因故两次都没有约到。Xiao hu, CFP: 同推荐。Lynn:这家我们暑假刚用过，不过只是用把东西装到pods里，用过两个团队，第一次派来三个年轻人不怎么样，第二次来的团队很不错，会帮忙规划怎么放家具和堆箱子。所以还是要看团队","","","","","","","","","","","","","","","","","","","",""
"","搬家公司","亨通","718-539-2874","","","","BR群： ShannonXu：自己用过，群里也有姐妹推荐过","","","","","","","","","","","","","","","","","","","",""
"","搬家公司","Palmieri Movers","732-624-9121","","","","BR群：海星：22年十二月份用的，总体感觉不错。","","","","","","","","","","","","","","","","","","","",""
"","搬钢琴","MMS Piano Movers","201-444-5512","","","","BR群：小黄毛：这家特别靠谱，非常专业。除了贵没毛病。","","","","","","","","","","","","","","","","","","","",""
"","搬钢琴","","201-847-8500","","","","BR群： ShannonXu：搬的满意，当时价钱不算贵","","","","","","","","","","","","","","","","","","","",""
"","窗户","Glass by Nelson","908-393-1616","131 N Gaston Ave Suite 2, Somerville, NJ 08876","","","10/2022 桥水大群 Saijun: 两年前换双层窗大约30x30，电话quote$100, 结果收$75。明显便宜。活很professional, 窗户玻璃替你match 原装颜色。上次活还替我免费装两个locks, 觉得非常满意。这个是两个人的小店，他说这几天特别忙时常外出上门big jobs, 在店的时间不好凑的。他说秘书通常上午在，可以留窗户店里，得过夜。可是晩上好冷。","","","","","","","","","","","","","","","","","","","",""
"","Air duct cleaning","Clean Air US","","","","","10/2022 桥水大群：Micheal Tian","","","","","","","","","","","","","","","","","","","",""
"","Air duct cleaning","DRX Duct Cleaning","","","","","Quincie Mom: 不错，价格稍贵","","","","","","","","","","","","","","","","","","","",""
"","Air duct cleaning","Chute Master","","","","","肉肉Lora爸","","","","","","","","","","","","","","","","","","","",""
"","Air duct cleaning","Sears Home Service","973-586-5181","","","","","","","","","","","","","","","","","","","","","","","",""
"","砍树","Aldi Tree Service","908-361-8678","","","","冰冰： 劳模，价格很美丽","","","","","","","","","","","","","","","","","","","",""
"","砍树","SH General Contractor LLC","","","","","桥水大群：石竹：今年春天我家砍了七颗ash tree，当时一共找过六家tree service的公司，最后选的是S H tree service，它不仅是价格最合理的，而且服务也很到位，来的非常的快。李李：搭车把这家砍树公司推荐给大家，本来想等把树根处理完再发布，但价格太亲民了，抑制不住想和大家分享。8棵树共1375加税。不到1分钟放倒一颗，然后锯成小段运到机器上粉粹，最后清理现场。这两天还会来另一个组，他们说把残留在地面上的树桩磨碎，专业术语是stump grinding。","","","","","","","","","","","","","","","","","","","","S.H. tree "
"","砍树","EverGreen, Justin","908-448-1737","","","","BR小学群：干活利索干净，价格极其合理，用过之后值得推荐。","","","","","","","","","","","","","","","","","","","",""
"","种树/拔树","Arbor Releaf Tree","908-208-0228","","","","BR群：Hui: Mark is local serving Basking Ridge over 20+ years","","","","","","","","","","","","","","","","","","","",""
"","Driving School","Dil's Driving School","908-526-5003","150 West End Ave, Somerville, NJ 08876","","","6/4/2025：我们用的Mr. Heinz。非常好。可以去家里pick up，road practice then drop off。很方便。","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","6/4/2025：+1，非常满意。","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","6/13/2025:  LL：我们用过的，挺方便。","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","6/13/2025: 同推荐上面这家 也是群友推荐的 Mr. Heinz 很好。","","","","","","","","","","","","","","","","","","","",""
"","Driving School","Peck Driving School","","https://www.a1peckdrivingschool.com/","","","6/4/2025：Peck Driving School也不错，到家里接。","","","","","","","","","","","","","","","","","","","",""
"","Paiting","John's Painting Contractor LLC","908-604-8759","","","","BR群：金瑜","","","","","","","","","","","","","","","","","","","",""
"","Painting","Chicory Xclusive Painting","908-361-3527","","","","6/7/2025: 群𥚃有人介紹給我上面這位刷牆公司，我用過．儥錢公道，工作認真","","","","","","","","","","","","","","","","","","","",""
"","Driveway","Robert","973-931-6553","","","","桥水大群：李李：价格有点高，但是填缝很专业，seal的活儿一般。刷得很薄，我们家这mini driveway要了500。","","","","","","","","","","","","","","","","","","","",""
"","Radon Mitigation","RAdata","973-927-7303","https://radata.com/","","","BR群：Mingyu: 用过RAdata，没有比较过其它公司。Catmlin：用的是RAdata，比较满意。","","","","","","","","","","","","","","","","","","","",""
"","Radon Mitigation","RadonAway","800-767-3703","","","","桐桐爸爸：只用过这一家，没觉得有啥不好的。","","","","","","","","","","","","","","","","","","","",""
"","机场接送","浩哥","732-718-2228","Edison","","","BR群：多人推荐。","","","","","","","","","","","","","","","","","","","",""
"","机场接送","董师傅","419-908-9848","BR山下","","","董师傅住山下，接送也很好。","","","","","","","","","","","","","","","","","","","",""
"","机场接送","董师傅","732-543-5799","","","","这个师傅也很好。
推荐。
用过挺好。不过不去纽约的机场。
时间允许的话，JFK也送。","","","","","","","","","","","","","","","","","","","",""
"","机场接送","黄先生","718-517-1470","","","","司机黄先生就住本镇， 非常准时。我们今年暑假回国的时候去JFK挺怕堵车的，黄师傅一大早六点多就来接我们，早早到了机场。然后从JFK回来的时候，取行李很慢折腾了好久，黄师傅也是早早就到机场很耐心地等我们出来，所以我们送机和接机两次对黄师傅的印象都很好。饺子：可能每人经验不一样 吐槽一句这个师傅 用过 不准时 本来说堵车晚十几分钟 最后我在机场等了半个多小时 打电话说见面解释 结果也没解释 中午那个点根本不堵车。
黄师傅经常帮我接送小孩，我体验也是非常好。
我这次回国也是黄师傅接送的，也有同样的经历，黄师傅守时 很好，不过他说了九月中旬回北京，估计圣诞节前回美国。
可能每人经验不一样 吐槽一句这个师傅 用过 不准时 本来说堵车晚十几分钟 最后我在机场等了半个多小时 打电话说见面解释 结果也没解释 中午那个点根本不堵车。","","","","","","","","","","","","","","","","","","","",""
"","机场接送","孙先生","908-800-4293","","","","用过几次孙先生，推荐，他现在搬到山上了，他一般不接电话，我每次都是发text给他。","","","","","","","","","","","","","","","","","","","",""
"","机场接送","Jack","973-216-4787","","","","推荐Jack, 我用了好多年了，非常好。有个7人van。
同意，Jack接送非常靠谱。
这家旅游包车和机场接送挺好的，我飞机被取消改签，临时改时间到半夜，Jack也很灵活地安排了接送。
今天联系了机场接送的司机Jack，Jack没空，他马上热心地帮忙联系了另一个在附近的司机Michael Wu。把这两位师傅的联系方式放上来，有需要的姐妹可以联系他们。Jack有6座，8座，15座的车。","","","","","","","","","","","","","","","","","","","",""
"","机场接送","Michael Wu","646-371-3986","Brooklyn","","","Michael Wu 在Brooklyn，从纽约出发更方便。接机$200","","","","","","","","","","","","","","","","","","","",""
"","机场接送","蒋师傅","347-820-2668 ","NYC","","","奇奇妈妈：蒋师傅有八座minivan,从JFK接机送到桥水收费$130","","","","","","","","","","","","","","","","","","","",""
"","机场接送","Ken Salon","","","","","7/31/2025 嘟嘟爸爸：新推出一个送机到JFK服务，一趟$120.","","","","","","","","","","","","","","","","","","","",""
