"","医生类别 眼科医生 眼科医生 眼科医生 眼科医生 眼科医生","诊所名/医生名 Princeton Optometry University Children's Eye Center The Eye Center, Linda Zhang, John Lane Family Vision Center NJ Edison Eyecare & Vision Center","地址 211 N Harrison St, Princeton, NJ 08540 Bridgewater & East Brunswick 65 Mountain Blvd. Ext. Suite 105, Warren, NJ 07059 225 Hamilton St., Bound Brook, NJ 08805 1945 NJ-27 #2, Edison, NJ 08817","电话 609-921-6620 732-613-9191 732-356-1304 908-685-5900 732-543-0706","推荐时间 ","备注 可以开治疗近视的眼药水 可以开治疗近视的眼药水，但是不收眼科保险。 Linda Zhang 没一句废话， 不主动讲中文， 不拉家常， 不问寒问暖， 但有问必答。 这周边像Linda Zhang 这样学历， training 的眼科医生不多。 她当过clinical instructor, 所以知道怎样解释问题。  同一个诊所 Eye Center 的 Dr John Lane 很不错，跟他看了很多年 后来换到Edison Costco附近的一个夏医生，解决了问题，从此以后都在她家配眼镜",""
"","眼科医生","Brian Cmpolattaro","","","7/11/2023","","不怕麻烦去城里，我去的那个Brian Campolattaro很好，态度又好，水平又高。附近的医生都不行，我想找个专业的眼科医生都没。"
"","黑名单","","","","","",""
"","眼科医生","Dr. Duan & Associates Eye Care","190 State Route 18, Suite 302, East Brunswick, Nj 08816","732-247-2847","","不接受Aon的EyeMed plan",""
"","","","","","2/2025","我们家看的是段昌敏，在east Brunswick ",""
"","","","","","","给错镜片。我朋友家孩子也在她们家配，具体情况记不清了，好像是镜片按照她的度数来配的，但是孩子还是看不清。医生直接回了句她也不会治了",""
"","眼科医生","Dr Sun Eye Care ","256 ColumbiaTurnpike, Florham Park, NJ 07932","609-799-1219","7/11/2023","我用过孙医生，眼睛度数直接配错了，戴上就头晕",""
"","","","","","7/11/2023","同一问题发生在我女儿身上，当时她还在段诊所里帮忙，眼镜直接配错，度数太高根本没法戴，回去请孙医生和段医生重新检查都说没错，不肯调整度数和换眼镜，浪费钱时间更是赔不起，后来换到Edison Costco附近的一个夏医生，解决了问题，从此以后都在她家配眼镜",""
"","","","","","7/11/2023","真是要给大家提个醒。我上周再孙医生诊所也遇到同样情况：孩配的OK镜，总说模糊，我以为要适应一下，等两周后找到孙医生，直接说配错了。",""
"","","","","","7/11/2023","我儿子在孙医生那配OK镜也遇到过同样问题，有一只眼睛镜片总戴不好，一戴就歪，孩子也总哭闹说不舒服，医生那边就是说孩子戴的方法不对要我们硬戴。后来正好赶上书夹回国在同仁医院查了一下，才知道戴不上的那只眼镜的曲度配错了，医生是让孩子“大脚穿小鞋”能舒服得了吗！重新配了眼镜孩子戴上就再无障碍了。自此以后只在孙医生那检查，不敢让她调配OK镜了。",""
"","","Lucy Chen","Morristown","","7/11/2023","差评。态度非常不好，没有耐心。问第三个问题就不愿意回答（回答了几个近视隐形眼镜得问题满嘴跑火车不能自圆其说）而且最后没跟我们打招呼自己就走出诊室了，第一次遇到这种医生，对近视娃很多专业知识欠缺，后来了解到她比较擅长做某种眼科手术，对我们这懒得理睬。",""
"","","","","","7/11/2023","Lucy Chen估计是看疑难杂症得那种专业医生，当年她凭肉眼检查，帮我娃查出了一个罕见眼病，我蛮感激她的。她是有点不太亲和。",""
"","","","","","7/11/2023","Lucy我也给差评，态度确实差。",""
"","儿科医生","Alla Erlikhman (JT Pediatrics - Primary Care Partners Affiliate)","2003 Washington Valley Rd, Martinsville, NJ 08836","908-443-1362","4/13/2021","非常推荐。很细致负责。有病随时可以电话。环境好，而且很多test现场出结果。比如strep，flu。该开啥药开啥药。联系方便。",""
"","儿科医生","Marcia R. Mclnnes","254 Route 202-2026 N, Pluckemin, NJ 07978","908-234-9777","4/14/2021","人超级耐心，每次可以聊半小时以上，解决心里所有疑问才离开。她不会因为要赚钱而约很多病人。有问题电话她，回复也很及时。",""
"","儿科医生","Somerset Pediatric Group","","","1/10/2020","强烈推荐。真心方便。咱们家门口就有一个，周末也开门，医生整体都不错。我这是比较了三家儿医诊所，经过血泪教训体验到的。",""
"","","","","","12/2/2023","挺好的，离家近。周六全天，周日半天。一般着急看病都可以约到两小时后的（不指定医生的话）。医术水平反正对付平常小病感觉没问题。",""
"","","","","","12/2/2023","同推荐，Dr Yorker体检能预约上，平时生病随便看个group里的医生就行。",""
"","","","","","12/3/2023","我家也是Dr Yorke，人很好，他的体检要提前几个月约好，但是平时生病的话，诊所基本上都有人，很方便约。",""
"","","","","","12/19/2023","我们娃从出生就用。一周七天都有人，很方便。",""
"","","","","","1/16/2025","我们现在就Somerset Pediatric Group，跑Bernard那个site，图个心情愉快。缺点没有email。",""
"","儿科医生","Advocare Pediahealth Medical Associates","720 US Highway 202/206, Bridgewater, NJ 08807","908-722-5444","4/14/2021","我家用这个，Dr. Tang是台湾人。在Stellar对面，我家老大以前也是经常生病，就是学校让去接，之后就直接到对面看病了。1/16/2025 妹妹弟弟妈妈：我们在advocate感觉还可以，基本上早上有当天的，等得也不久。",""
"","儿科医生","Li Jiang","613 Courtyard Dr, Hillsborough Township, NJ 08844","","","",""
"","儿科医生","Li Jiang","613 Courtyard Dr, Hillsborough Township, NJ 08844","","1/16/2025","不推荐，去过两次不痛不痒，诊断用药都不果断，不是我的菜。杨杨妈：同意不痛不痒。Audrey/Olivia爸爸：我们有过惨痛教训，不推荐。我们是打针，针头折了。嘟嘟安安妈妈：应该是差点给我娃重复打疫苗那个，远离。",""
"","儿科医生","Dr. Daniel Hermann","1 Robertson Dr, Bedminster, NJ 07921","908-588-3844","","大力推荐。很容易约appointment. 医生非常容易沟通。星 from BR：谢谢你前段时间推荐。我们已经换到这个医生这里了。很满意。我也推荐这个医生。 我们是今年才换到这个医生这里的，感觉医生和护士都非常耐心和容易沟通。",""
"","黑名单","","","","","",""
"","儿科医生","Watchung Pediatrics","","908-755-5437","","我们之前跟Watchung Pediatrics 不到一年，不是很推荐。",""
"","","","","","","好几次耽误了，不会再去",""
"","儿童牙医","Branchburg Pediatric Dentist","3322 Route 22 West, Suite 201, Building #2, Branchburg, NJ, 08876","908-760-6583","","可以躺着看电视，发小礼物。",""
"","儿童牙医","Basking Ridge Pediatric Dentist","25 Mountainview Blvd #201, Basking Ridge, NJ 07920","908-647-0747","","有ipad，洗牙很耐心。拔牙很耐心，编出一系列fairy的故事。",""
"","儿童牙医","Yu Huang","Green Brook","","","",""
"","儿童牙医","Alice Chao","Piscataway","","","台湾人、人耐心",""
"","儿童牙医","precision digital dentistry/Dr. Ma","","","","大人小孩都看，周六也开门，娃在那边洗过一次牙，拔过一次牙，大人在那边洗过牙还补过牙，还行。",""
"","牙医","Advanced Dental Care at Bridgewater/Dr Lam","678 US-206 building 5 unit 8, Bridgewater NJ 08807","908-838-0198","","Dr Lam 香港人很不错",""
"","牙医","Dr Yulan Wu","85 Somerville Rd, Bedminster, NJ 07921","908-234-0753","","",""
"","牙医","Dr. Li Chen","L C Quality Dental, 2000 NJ-27, North Brunswick Township, NJ 08902","732-398-8800","12/22/2023","推荐我们的牙医，大人小孩都能搞定，小孩打麻药哭能全程中文有效交流distract娃让娃calm down。用了超过十年了。中间因为远换了其他牙医，都不满意，又不得不换回来了。",""
"","牙医","Dr. Hua Zhu","1390 US-22 #201, Lebanon, NJ 08833","(908) 236-7800","12/28/2023","我牙医一直是Dr. Hua Zhu, 除了新冠期间图近看了一阵子Dr. Lam. 不过现在朱医生诊所加了两位年轻的牙医，平时洗牙检查或简单补牙都是年轻医生，朱医生自己只做难度比较高的dental work了。朱医生学医出身，医术很好，我妈特别怕拔牙的人在她那里拔了几颗牙都很顺利。",""
"","儿童整形牙医","Dr. Y. Emily Yu","Piscataway","","","Alice Chao牙医refer的牙箍医生但还没去看过",""
"","儿童整形牙医","Aesthetic Dentistry of Bernardsville","10 Anderson Hill Rd, Bernardsville, NJ 07924","(908) 888-9858","","new technique, guided growth. 既能补牙又能整牙，人也超级nice。扩牙床然后戴Myobrace",""
"","儿童整形牙医","Sweet Smile Orthodontics. Dr. Tian","666 Plainsboro Road #1181","609-750-9502","","",""
"","儿童整形牙医","Caggiano Orthodontics","","","","离咱有点距离，但是我整下来效果不错，看到那边有好多孩子去矫牙，我的牙医也是推荐这家。可以去它家网站预约免费quote下",""
"","儿童整形牙医","Dr. Craig Menker","","","","朋友推荐的，整个过程很顺利。价钱可能不是最便宜的，如果你有其他医生的quote，可以问问他能不能match。",""
"","整形牙医","Dr. Steritt","901 US Highway 202 N, Raritan, NJ 08869","908-428-4354","","医生很有经验，里面的staff也很nice。",""
"","","","","","","我家两娃也用过的，他们有多个医生，约见时可以指定Dr. Sterritt. ",""
"","","","","","","老牌技术，人好价格也很公道。",""
"","","","","","8/7/2024","老医生，经验丰富。那个Choi 原来在他那里工作，后来单干了",""
"","整形牙医","Bridgewater Orthodontist DrMatthew Choi","1130 US-202.Raritan. NJ 08869","(908) 722-3377","8/7/2024","Dr. Choi 非常好。他不但住我们小区，office 也在附近。很专业负责。他以前在的那家，我几年前先去的，老公先生挺牛气，给了一个很高的价格后来找了Choi,儿子，女儿都非常满意。价优服务很好。",""
"","整形牙医","Stella Mellas","665 Martinsville Rd, Basking Ridge, NJ 07920","(908) 350-3416","8/6/2025","感觉还可以，离家近比较方便",""
"","Oral Surgery","Warren Oral Surgery and Dental Implant Center","58 Mt Bethel Rd Suite202,Warren, NJ 07059","(908) 222-7922","8/8/2024","我们刚刚用过的，感觉挺好的。",""
"","","","","","8/8/2024","同感，这个家不错",""
"","家庭医生","Ling Lan","34 Mountain Boulevard, Warren, NJ 07059","908-561-8600","","非常好，中国人，说中文",""
"","家庭医生","Peimei Qu","15 Monroe Street, Bridgewater NJ, 08807","908-595-6331","","",""
"","家庭医生","Karen H. Sun","15 Monroe Street, Bridgewater NJ, 08807","908-595-6331","2/13/2025","",""
"","","","","","2/13/2025","我也推荐她们。",""
"","","","","","2/13/2025","同一诊所有两个大夫，Peimei Qu也很好。",""
"","家庭医生","Shiow Cheng","215 Union Avenue Suite E, Bridgewater, NJ 08807","908-685-1818","2/13/2025","这个医生是台湾人，行医时间很长了，经验丰富，而且我每次有问题找她，她都能很快回复，非常替病人着想。她先生是挺有名的心脏科医生，我父母的心脏问题都昰找她先生看的。我是很喜欢这老两口，医术好，还很风趣幽默。每次去看病，顺便聊聊天，很高兴。",""
"","妇科医生","Albert Chan","2301 Maple Ave, South Plainfield, NJ 07080","(908) 754-9600","7/12/2022","Albert Chan菲律宾华人，中文很好，我4个孩子，两顺两剖都是他，开业快三十年了。",""
"","","","","","","我也推荐Dr Chan，诊所有点小，医生很和蔼，医术很高。他太太是助理，人超级nice。两娃顺和之前一次宫外，都是他。之前几乎每次都给我做B超看娃，也没有claim保险，比较随和。",""
"","","","","","","我也推荐Dr Chan，诊所有点小，医生很和蔼，医术很高。他太太是助理，也是医生，夫妻超级nice，医德很好。他俩是在医学院互相借笔记互相学习认识的。",""
"","","","","","1/8/2024","产科医生推荐Albert Chan，也是夫妻一起开诊所，在south plainfield.Summer X. from BR: Albert Chan早两年就已经不接新病人了，我是他接生的，真的超级好，很可惜他不接新病人了。",""
"","","","","","","此处跳出来+1，他居然不接受新病人了？估计要准备退休了。",""
"","","","","","","我去年找他妇科体检，他还接新病人。今年又去看他，他还问我要不要再生，可以打电话问问。",""
"","","","","","","哦？那可能他又开始了？那真是太好了。",""
"","","","","","6/23/2024","推荐曾医生，不知道他现在还收不收新病人。Yv from BR： 同推荐。",""
"","妇科医生","Dr. Shilpa Clott","31 Mountain Blvd Bldg D, warren, NJ 07059","908-388-5985","1/10/2024","刚去了Dr Shilpa Clott妇科体检，感觉不错。",""
"","过敏医生","ENT & Allergy Associates","245 Route 22 West, 3rd Floor","908-722-1022","","",""
"","过敏医生","Dr Southern (Princeton Allergy & Asthma）","24 Vreeland Dr Suite 2, Skillman, NJ 08558","609-921-2202","","",""
"","过敏医生","Dr. Ligaya V. Centeno","Edison","","9/30/2024","感觉很细心很耐心",""
"","儿童皮肤科","Helen Theresa Shin, M.D.","155 Polifly Rd #101, Hackensack, NJ 07601","(551) 996-8697","","我其实不愿意推荐她，原因一是她比较远，每次过去差不多一小时，第二她比较难约，第三她人比较强硬，你必须配合她，否则她不愿意给你治病。我开始也不喜欢她，但后来听她的话确实还挺好。",""
"","皮肤科","Phoebe Lu","240 East Grove Street, Westfield, NJ 07090","908-232-6446","2/8/2024","这个医生很好",""
"","皮肤科","Rutgers Health Dermatology","1 Worlds Fair Drive - Second Floor, Suite 2400, Somerset, NJ 08873","732-235-7993","","",""
"","皮肤科","Dermatology Center of NJ","745 US-202/206, Ste 102, Bridgewater, NJ 08807","908-393-9755","9/30/2024","我家女儿去过这家皮肤科，很快。你可以试试。大人小孩都会看的那种。",""
"","皮肤科","Dr. Alexander Shraga","East Brunswick","","9/30/2024","好久之前干性湿疹看过这个医生，感觉这个更好些。",""
"","皮肤科","Choice dermatology的Synder Miller","","","8/7/2025","这女的快准狠地治好了我妈两个不同的皮肤问题。还有我有一个皮肤问题在其他医生那被误诊，在她这里纠正过来，现在正在朝好的方向发展",""
"","肠胃镜","Howard N Garson","1121 US-22 Ste 205, Bridgewater, NJ 08807","908-788-4022","","",""
"","肠胃镜","Scott S Chae ","2 State Route, 107, Edison, NJ 08820","732-632-9777","","",""
"","肠胃镜","Dr. Jefferey S. Unger","25 Monroe St, Bridgewater, NJ","908-231-1999","12/4/2023","他家都用RWJ的地方做肠镜之类的，很正规。",""
"","","","","","6/4/2025","Dr Unger，波士顿大学，又帅又负责，他们那有个老印医生听说也超级好。",""
"","","","","","6/4/2025","推荐这个，医生就住在山上。",""
"","移民体检医生","Hui Lin","201 Bridge St, Metuchen, NJ 08840","(732) 632-8881","","",""
"","移民体检医生","Li Jiang","613 Courtyard Dr, Hillsborough Township, NJ 08844","(908) 725-0875","","",""
"","移民体检医生","Hao Zhang","2 Ethel Rd #203c, Edison, NJ 08817","(732) 662-1100","","",""
"","运动医生","Dr. John Kripsak","766 YS-202 #1, Bridgewater Nj 08807","908-722-0808","1/13/2023","这个医生很棒，他们本身有ultrasound guided treatment,软骨损伤都能很及时诊断和修复处置，很有经验的医生。",""
"","心脏科医生","Chao-Tarng Cheng","225 Jackson St, Bridgewater, NJ 08807","908-526-8668","2/13/2025","她先生是挺有名的心脏科医生，我父母的心脏问题都昰找她先生看的。我是很喜欢这老两口，医术好，还很风趣幽默。每次去看病，顺便聊聊天，很高兴。他的诊所大约有十几个心脏科医生。他不是每天上班，要约上他可能需要些时间。",""
